date,minutes,notes
"January 18, 2023",45,"Finish G4D7 & start D8 in lessons."
"January 21, 2023",60,"Finish G4 (very meh on it). Play a bit."
"February 1, 2023",30,"Start You've Got to Hide Your Love Away"
"March 12, 2023",30,"Level 5 Molly"
"March 18, 2023",30,"Beatles and scales"
"March 19, 2023",45,"Scales, Minor Arpeggios, Beatles, Cumbia Ab"
"April 4, 2023",30,"Acoustic. Play songs."
"April 9, 2023",15,"Play songs"
"April 10, 2023",32,"Scales"
"April 11, 2023",20,"Play"
"April 30, 2023",30,"Play show. Have nervous breakdown."
"May 1, 2023",30,"Em shape Dm shape. Futz."
"May 6, 2023",50,"Single string soloing (super fun)"
"May 17, 2023",30,"FIlos de gandhi"
"May 18, 2023",130,"Beatles. Grade 5-6. Noodle."
"May 21, 2023",100,"Grade 7. Write & record NTFA"
"May 22, 2023",15,"NFTA"
"May 23, 2023",90,"NFTA"
"May 24, 2023",60,"NFTA"
"May 25, 2023",90,"NFTA"
"May 27, 2023",60,"Guts in a twist"
"May 28, 2023",35,"Guts in a twist"
"May 29, 2023",35,"Playing. Pushin'"
"May 30, 2023",35,""
"August 3, 2023",35,"Playing various songs"
"August 4, 2023",55,"D minor shape"
